Activity Date,Activity Type,Elapsed Time,Distance,Average Heart Rate
2026-07-25 11:06:41,Run,2400,8260.0,144
2026-07-26 11:06:41,Run,3000,8830.0,149
2026-07-28 11:06:41,Run,1980,6180.0,133
2026-07-29 11:06:41,Run,2760,8380.0,134
2026-07-31 11:06:41,Run,2580,8119.999999999999,139
2026-08-01 11:06:41,Run,1920,6190.0,133
2026-08-02 11:06:41,Run,2880,8600.0,139
2026-08-04 11:06:41,Run,3000,9800.0,133
2026-08-05 11:06:41,Run,2880,9340.0,133
2026-08-07 11:06:41,Run,2220,6530.0,136
2026-08-08 11:06:41,Run,2340,7370.0,149
2026-08-09 11:06:41,Run,1980,6400.0,149
2026-08-11 11:06:41,Run,3060,9230.0,150
2026-08-12 11:06:41,Run,2880,9420.0,143
2026-08-14 11:06:41,Run,1980,6380.0,134
2026-08-15 11:06:41,Run,2880,8500.0,138
2026-08-16 11:06:41,Run,2700,8900.0,145
2026-08-18 11:06:41,Run,3240,10020.0,150
2026-08-19 11:06:41,Run,2640,8230.0,139
2026-08-21 11:06:41,Run,3960,13090.0,165
2026-08-22 11:06:41,Run,3600,11650.0,174
2026-08-23 11:06:41,Run,5160,17560.0,172
2026-08-25 11:06:41,Run,4380,14260.0,160
2026-08-26 11:06:41,Run,3720,11910.0,163
